task_id,occupation,berufenet_id,sector,label_5cat,task_text_en,task_text_de,skill_1_id,skill_1_en,skill_1_de,skill_1_rel,skill_2_id,skill_2_en,skill_2_de,skill_2_rel,skill_3_id,skill_3_en,skill_3_de,skill_3_rel,n_skills
BN_0011,Waste Consultant,137138.0,other,stays_with_you,Advise households and businesses on waste disposal and environmental protection.,Haushalte und Unternehmen in Fragen zur Abfallentsorgung und zum Umweltschutz beraten.,SK-OPS-019,Waste & Hazardous Materials,Abfall- und Gefahrstoffmanagement,0.9,SK-OPS-011,Environmental Management,Umweltmanagement,0.85,SK-SOC-010,Counseling & Guidance,Beratung und Begleitung,0.8,3
BN_0012,Waste Consultant,137138.0,other,stays_with_you,Conduct workshops and training in companies.,Workshops und Schulungen in Unternehmen durchführen.,SK-SOC-008,Teaching & Training,Lehren und Ausbilden,0.95,SK-SOC-001,Verbal Communication,Mündliche Kommunikation,0.8,SK-SOC-019,Training Material Development,Schulungsmaterial entwickeln,0.75,3
BN_0013,Waste Consultant,137138.0,other,ai_assisted,Explain laws on waste management and environmental protection.,Gesetze zur Abfallwirtschaft und zum Umweltschutz erklären.,SK-DOM-001,Legal Knowledge & Application,Rechtskenntnisse und -anwendung,0.9,SK-DOM-002,Regulatory Compliance,Regulatorische Compliance,0.8,SK-DOM-006,Policy & Regulation Development,Richtlinien- und Regelungsentwicklung,0.75,3
BN_0014,Waste Consultant,137138.0,other,stays_with_you,give lectures and seminars on environmental protection and manage online offers.,Vorträge und Seminare zum Umweltschutz halten und Internetangebote betreuen.,SK-SOC-001,Verbal Communication,Mündliche Kommunikation,0.9,SK-OPS-011,Environmental Management,Umweltmanagement,0.85,SK-SOC-008,Teaching & Training,Lehren und Ausbilden,0.8,3
BN_0015,Waste Consultant,137138.0,other,ai_assisted,evaluate disposal offers based on environmental aspects.,Entsorgungsangebote nach Umweltaspekten bewerten.,SK-OPS-011,Environmental Management,Umweltmanagement,0.9,SK-COG-013,Evaluating Processes & Systems,Prozesse und Systeme bewerten,0.85,SK-OPS-019,Waste & Hazardous Materials,Abfall- und Gefahrstoffmanagement,0.75,3
BN_0016,Waste Consultant,137138.0,other,stays_with_you,Recognize environmental hazards from improper waste disposal.,Umweltgefahren durch falsche Abfallentsorgung erkennen.,SK-OPS-019,Waste & Hazardous Materials,Abfall- und Gefahrstoffmanagement,0.9,SK-OPS-011,Environmental Management,Umweltmanagement,0.8,SK-COG-010,Risk Assessment,Risikobewertung,0.75,3
BN_0017,Waste Consultant,137138.0,other,ai_assisted,Create concepts for waste reduction and recycling for households and businesses.,Konzepte zur Abfallvermeidung und zum Recycling für Haushalte und Unternehmen erstellen.,SK-OPS-019,Waste & Hazardous Materials,Abfall- und Gefahrstoffmanagement,0.9,SK-OPS-011,Environmental Management,Umweltmanagement,0.85,SK-DOM-006,Policy & Regulation Development,Richtlinien- und Regelungsentwicklung,0.75,3
BN_0018,Waste Consultant,137138.0,other,high_ai_potential,Manage websites for waste management.,Websites zur Abfallwirtschaft verwalten.,SK-COG-014,Information Management,Informationsmanagement,0.85,SK-COG-003,Planning & Organizing,Planen und Organisieren,0.8,SK-OPS-008,Administrative Support,Verwaltung und Büroorganisation,0.75,3
BN_0019,Waste Consultant,137138.0,other,automatable,Create statistics on waste treatment.,Statistiken zur Abfallbehandlung erstellen.,SK-COG-006,Data Analysis & Interpretation,Datenanalyse und -auswertung,0.95,SK-OPS-019,Waste & Hazardous Materials,Abfall- und Gefahrstoffmanagement,0.75,SK-DIG-002,Data Management & Databases,Datenmanagement und Datenbanken,0.7,3
BN_0020,Waste Consultant,137138.0,other,ai_assisted,Create and update training materials for different target groups.,Schulungsmaterial für verschiedene Zielgruppen erstellen und aktualisieren.,SK-SOC-019,Training Material Development,Schulungsmaterial entwickeln,0.95,SK-DOM-008,Education Program Design,Bildungsprogramm-Gestaltung,0.8,SK-DIG-008,Digital Content Creation,Digitale Inhaltserstellung,0.75,3
BN_0021,Waste Consultant,137138.0,other,stays_with_you,Manage regional waste infrastructures like recycling centers.,Regionale Abfallinfrastrukturen wie Wertstoffhöfe betreuen.,SK-OPS-019,Waste & Hazardous Materials,Abfall- und Gefahrstoffmanagement,0.9,SK-OPS-011,Environmental Management,Umweltmanagement,0.85,SK-OPS-013,Facility & Equipment Management,Gebäude- und Anlagenmanagement,0.75,3
BN_0022,Account Manager,14475.0,finance,stays_with_you,Build and maintain customer relationships.,Kundenbeziehungen aufbauen und pflegen.,SK-SOC-011,Stakeholder Management,Stakeholder-Management,0.9,SK-SOC-009,Customer Service,Kundenbetreuung,0.85,SK-OPS-005,Sales & Business Development,Vertrieb und Geschäftsentwicklung,0.75,3
BN_0023,Account Manager,14475.0,finance,stays_with_you,Conduct consulting and sales talks and gather important information.,Beratungs- und Verkaufsgespräche führen und wichtige Informationen sammeln.,SK-OPS-005,Sales & Business Development,Vertrieb und Geschäftsentwicklung,0.9,SK-SOC-009,Customer Service,Kundenbetreuung,0.85,SK-SOC-010,Counseling & Guidance,Beratung und Begleitung,0.8,3
BN_0024,Account Manager,14475.0,finance,stays_with_you,Analyze business processes and customer needs.,Die Geschäftsprozesse und Bedürfnisse der Kunden analysieren.,SK-COG-011,Business Analysis,Geschäftsanalyse,0.95,SK-COG-013,Evaluating Processes & Systems,Prozesse und Systeme bewerten,0.8,SK-COG-006,Data Analysis & Interpretation,Datenanalyse und -auswertung,0.75,3
BN_0025,Account Manager,14475.0,finance,stays_with_you,Support customers in new business areas and offer training.,Kunden bei neuen Geschäftsfeldern unterstützen und Schulungen anbieten.,SK-SOC-008,Teaching & Training,Lehren und Ausbilden,0.9,SK-OPS-005,Sales & Business Development,Vertrieb und Geschäftsentwicklung,0.85,SK-SOC-019,Training Material Development,Schulungsmaterial entwickeln,0.8,3
BN_0026,Account Manager,14475.0,finance,ai_assisted,Plan sales areas and create development plans.,Verkaufsgebiete planen und Entwicklungspläne erstellen.,SK-OPS-005,Sales & Business Development,Vertrieb und Geschäftsentwicklung,0.9,SK-COG-009,Strategic Thinking,Strategisches Denken,0.85,SK-COG-011,Business Analysis,Geschäftsanalyse,0.75,3
BN_0027,Account Manager,14475.0,finance,ai_assisted,Prepare information on products and services.,Informationen zu Produkten und Dienstleistungen aufbereiten.,SK-COG-014,Information Management,Informationsmanagement,0.85,SK-SOC-002,Writing & Reporting,Schreiben und Berichten,0.75,,,,,2
BN_0028,Account Manager,14475.0,finance,ai_assisted,Develop ideas to take advantage of market opportunities with customers.,"Ideen entwickeln, um gemeinsam mit Kunden Marktchancen zu nutzen.",SK-OPS-005,Sales & Business Development,Vertrieb und Geschäftsentwicklung,0.9,SK-COG-005,Creative Thinking,Kreatives Denken,0.85,SK-SOC-009,Customer Service,Kundenbetreuung,0.75,3
BN_0029,Account Manager,14475.0,finance,stays_with_you,Coordinate communication in sales.,Die Kommunikation im Vertrieb koordinieren.,SK-SOC-021,Coordinating Across Teams,Teamübergreifend koordinieren,0.85,SK-OPS-005,Sales & Business Development,Vertrieb und Geschäftsentwicklung,0.8,SK-SOC-011,Stakeholder Management,Stakeholder-Management,0.7,3
BN_0030,Account Manager,14475.0,finance,stays_with_you,work with management and other departments.,Mit der Geschäftsleitung und anderen Abteilungen zusammenarbeiten.,SK-SOC-021,Coordinating Across Teams,Teamübergreifend koordinieren,0.85,SK-SOC-006,Teamwork & Collaboration,Teamarbeit und Zusammenarbeit,0.75,,,,,2
BN_0031,Account Manager,14475.0,finance,ai_assisted,"Analyze development measures, for example through market observations.","Entwicklungsmaßnahmen analysieren, zum Beispiel durch Marktbeobachtungen.",SK-COG-006,Data Analysis & Interpretation,Datenanalyse und -auswertung,0.9,SK-COG-013,Evaluating Processes & Systems,Prozesse und Systeme bewerten,0.8,,,,,2
BN_0032,Account Manager,14475.0,finance,ai_assisted,Evaluate sales potentials and measures.,Vertriebspotenziale und Maßnahmen bewerten.,SK-OPS-005,Sales & Business Development,Vertrieb und Geschäftsentwicklung,0.9,SK-COG-013,Evaluating Processes & Systems,Prozesse und Systeme bewerten,0.8,SK-COG-011,Business Analysis,Geschäftsanalyse,0.75,3
BN_0033,Account Manager,14475.0,finance,ai_assisted,Start and support sales activities.,Vertriebsaktivitäten starten und begleiten.,SK-OPS-005,Sales & Business Development,Vertrieb und Geschäftsentwicklung,0.95,SK-COG-019,Taking Initiative,Eigeninitiative zeigen,0.8,SK-SOC-009,Customer Service,Kundenbetreuung,0.75,3
BN_0034,Account Manager,14475.0,finance,stays_with_you,Use fairs and events to present the company and gain new customers.,"Messen und Events nutzen, um das Unternehmen zu präsentieren und neue Kunden zu gewinnen.",SK-OPS-005,Sales & Business Development,Vertrieb und Geschäftsentwicklung,0.9,SK-OPS-012,Event & Program Management,Veranstaltungs- und Programmmanagement,0.85,SK-SOC-012,Public Speaking & Presenting,Vorträge und Präsentationen,0.85,3
BN_0035,Affiliate Manager,132516.0,other,ai_assisted,Manage the partner program between provider and sales partner.,Das Partnerprogramm zwischen Anbieter und Vertriebspartner betreuen.,SK-SOC-011,Stakeholder Management,Stakeholder-Management,0.9,SK-OPS-005,Sales & Business Development,Vertrieb und Geschäftsentwicklung,0.85,SK-SOC-003,Negotiation,Verhandlungsführung,0.7,3
BN_0036,Affiliate Manager,132516.0,other,ai_assisted,Develop concepts to improve processes in the partner program.,Konzepte zur Verbesserung der Abläufe im Partnerprogramm entwickeln.,SK-COG-011,Business Analysis,Geschäftsanalyse,0.9,SK-COG-013,Evaluating Processes & Systems,Prozesse und Systeme bewerten,0.8,SK-COG-005,Creative Thinking,Kreatives Denken,0.75,3
BN_0037,Affiliate Manager,132516.0,other,ai_assisted,Plan online campaigns.,Onlinekampagnen planen.,SK-OPS-006,Marketing & Promotion,Marketing und Werbung,0.9,SK-COG-003,Planning & Organizing,Planen und Organisieren,0.85,SK-DIG-018,E-Commerce & Digital Marketing,E-Commerce und digitales Marketing,0.75,3
BN_0038,Affiliate Manager,132516.0,other,ai_assisted,Ensure that the technology works as a link between affiliates and providers.,"Als Verbindung zwischen Affiliates und Anbietern sicherstellen, dass die Technik funktioniert.",SK-DIG-004,IT Systems & Infrastructure,IT-Systeme und Infrastruktur,0.85,SK-SOC-021,Coordinating Across Teams,Teamübergreifend koordinieren,0.75,SK-DIG-006,Digital Collaboration Tools,Digitale Zusammenarbeit,0.7,3
BN_0039,Affiliate Manager,132516.0,other,high_ai_potential,Analyze the websites of affiliates and check visitor numbers and sales success.,Die Webseiten der Affiliates analysieren und den Besucherzahlen sowie den Verkaufserfolg prüfen.,SK-COG-006,Data Analysis & Interpretation,Datenanalyse und -auswertung,0.95,SK-DIG-018,E-Commerce & Digital Marketing,E-Commerce und digitales Marketing,0.8,SK-OPS-005,Sales & Business Development,Vertrieb und Geschäftsentwicklung,0.7,3
BN_0040,Affiliate Manager,132516.0,other,stays_with_you,Attract new affiliates and activate them for the partner program,Neue Affiliates gewinnen und für das Partnerprogramm freischalten.,SK-OPS-005,Sales & Business Development,Vertrieb und Geschäftsentwicklung,0.9,SK-SOC-016,Persuasion & Influence,Überzeugen und Einfluss nehmen,0.8,SK-OPS-006,Marketing & Promotion,Marketing und Werbung,0.75,3
BN_0041,Affiliate Manager,132516.0,other,automatable,Create current reports and statistics.,Aktuelle Berichte und Statistiken erstellen.,SK-COG-006,Data Analysis & Interpretation,Datenanalyse und -auswertung,0.95,SK-SOC-002,Writing & Reporting,Schreiben und Berichten,0.85,SK-DIG-003,Data Visualization,Datenvisualisierung,0.8,3
BN_0042,Affiliate Manager,132516.0,other,ai_assisted,Be responsible for the budget.,Für das Budget verantwortlich sein.,SK-COG-017,Budget & Financial Management,Budget- und Finanzmanagement,0.95,SK-COG-012,Resource Management,Ressourcenmanagement,0.75,,,,,2
BN_0043,Agile Coach / Scrum Master,133352.0,management,stays_with_you,Encourage employees and teams to self-organize.,Mitarbeiter und Teams zur Selbstorganisation anregen.,SK-SOC-007,Coaching & Mentoring,Coaching und Mentoring,0.9,SK-SOC-005,Team Leadership,Teamführung,0.75,SK-SOC-006,Teamwork & Collaboration,Teamarbeit und Zusammenarbeit,0.7,3
BN_0044,Agile Coach / Scrum Master,133352.0,management,stays_with_you,"Teach, facilitate, and motivate in agile teams.","In agilen Teams vermitteln, moderieren und motivieren.",SK-SOC-008,Teaching & Training,Lehren und Ausbilden,0.9,SK-SOC-007,Coaching & Mentoring,Coaching und Mentoring,0.88,SK-SOC-005,Team Leadership,Teamführung,0.85,3
BN_0045,Agile Coach / Scrum Master,133352.0,management,stays_with_you,Plan and lead training on agile methods.,Schulungen zu agilen Methoden planen und leiten.,SK-SOC-008,Teaching & Training,Lehren und Ausbilden,0.9,SK-COG-003,Planning & Organizing,Planen und Organisieren,0.85,SK-SOC-019,Training Material Development,Schulungsmaterial entwickeln,0.8,3
BN_0046,Agile Coach / Scrum Master,133352.0,management,stays_with_you,Organize and conduct regular short meetings.,Regelmäßige kurze Besprechungen organisieren und durchführen.,SK-COG-003,Planning & Organizing,Planen und Organisieren,0.9,SK-OPS-012,Event & Program Management,Veranstaltungs- und Programmmanagement,0.75,SK-COG-022,Time Management,Zeitmanagement,0.7,3
BN_0047,Agile Coach / Scrum Master,133352.0,management,ai_assisted,Quickly make deviations from sprint goals visible and fix them.,Abweichungen von Sprintzielen schnell sichtbar machen und beheben.,SK-COG-002,Problem Solving,Problemlösung,0.9,SK-OPS-020,Monitoring & Surveillance,Überwachung und Kontrolle,0.85,SK-COG-019,Taking Initiative,Eigeninitiative zeigen,0.7,3
BN_0048,Agile Coach / Scrum Master,133352.0,management,ai_assisted,address recurring problems and find solutions as a team.,Wiederkehrende Probleme ansprechen und im Team Lösungen finden.,SK-COG-002,Problem Solving,Problemlösung,0.95,SK-SOC-006,Teamwork & Collaboration,Teamarbeit und Zusammenarbeit,0.85,SK-COG-004,Decision Making,Entscheidungsfindung,0.75,3
BN_0049,Agile Coach / Scrum Master,133352.0,management,stays_with_you,Hold meetings after work cycles to reflect on teamwork.,"Nach Arbeitszyklen Meetings abhalten, um die Teamarbeit zu reflektieren.",SK-SOC-006,Teamwork & Collaboration,Teamarbeit und Zusammenarbeit,0.9,SK-SOC-005,Team Leadership,Teamführung,0.7,,,,,2
BN_0050,Agile Coach / Scrum Master,133352.0,management,ai_assisted,Introduce a continuous improvement process for workflows.,Einen kontinuierlichen Verbesserungsprozess für Abläufe einführen.,SK-COG-011,Business Analysis,Geschäftsanalyse,0.85,SK-OPS-002,Operations Management,Betriebsmanagement,0.8,SK-COG-018,Change Management,Veränderungsmanagement,0.75,3
BN_0051,Agile Coach / Scrum Master,133352.0,management,ai_assisted,Regularly inform teams about important numbers and facts.,Teams regelmäßig über wichtige Zahlen und Fakten informieren.,SK-SOC-001,Verbal Communication,Mündliche Kommunikation,0.9,SK-COG-006,Data Analysis & Interpretation,Datenanalyse und -auswertung,0.8,SK-COG-014,Information Management,Informationsmanagement,0.75,3
BN_0052,Agile Coach / Scrum Master,133352.0,management,ai_assisted,Review and analyze results of agile project management.,Ergebnisse des agilen Projektmanagements überprüfen und analysieren.,SK-COG-006,Data Analysis & Interpretation,Datenanalyse und -auswertung,0.85,SK-COG-013,Evaluating Processes & Systems,Prozesse und Systeme bewerten,0.8,SK-OPS-007,Project Management,Projektmanagement,0.75,3
BN_0053,Agile Coach / Scrum Master,133352.0,management,stays_with_you,conduct negotiations with customers and authorities,Verhandlungen mit Kunden und Behörden führen.,SK-SOC-003,Negotiation,Verhandlungsführung,0.95,SK-DOM-010,Public Administration,Öffentliche Verwaltung,0.8,SK-SOC-016,Persuasion & Influence,Überzeugen und Einfluss nehmen,0.75,3
BN_0054,Acoustic Specialist,90110.0,other,ai_assisted,Apply research results on acoustics and control sound waves.,Forschungsergebnisse zur Akustik anwenden und Schallwellen steuern.,SK-COG-008,Research & Analysis,Recherche und Analyse,0.9,SK-TEC-004,Lab & Research Methods,Labor- und Forschungsmethoden,0.75,SK-COG-006,Data Analysis & Interpretation,Datenanalyse und -auswertung,0.7,3
BN_0055,Acoustic Specialist,90110.0,other,ai_assisted,Develop pleasant engine and driving sounds for vehicles.,Angenehme Motor- und Fahrtgeräusche für Fahrzeuge entwickeln.,SK-COG-005,Creative Thinking,Kreatives Denken,0.9,SK-DIG-016,AV & Media Technology,AV- und Medientechnik,0.75,SK-COG-002,Problem Solving,Problemlösung,0.7,3
BN_0056,Acoustic Specialist,90110.0,other,ai_assisted,Examine and improve sounds and noises for movies.,Geräusche und Klänge für Filme untersuchen und verbessern.,SK-DIG-016,AV & Media Technology,AV- und Medientechnik,0.9,SK-COG-008,Research & Analysis,Recherche und Analyse,0.85,SK-DIG-008,Digital Content Creation,Digitale Inhaltserstellung,0.75,3
BN_0057,Acoustic Specialist,90110.0,other,stays_with_you,Advise on permits and court proceedings and create expert opinions.,Bei Genehmigungen und Gerichtsverfahren beraten und Gutachten erstellen.,SK-DOM-001,Legal Knowledge & Application,Rechtskenntnisse und -anwendung,0.9,SK-DOM-002,Regulatory Compliance,Regulatorische Compliance,0.8,SK-SOC-010,Counseling & Guidance,Beratung und Begleitung,0.75,3
BN_0058,Acoustic Specialist,90110.0,other,ai_assisted,Analyze the perception of sound and its causes.,Die Wahrnehmung von Schall und dessen Ursachen analysieren.,SK-COG-001,Critical Thinking,Kritisches Denken,0.9,SK-COG-006,Data Analysis & Interpretation,Datenanalyse und -auswertung,0.85,SK-TEC-007,Measurement & Testing,Messen und Prüfen,0.75,3
BN_0059,Acoustic Specialist,90110.0,other,stays_with_you,Offer training to avoid noise.,Schulungen zur Vermeidung von Lärm anbieten.,SK-SOC-008,Teaching & Training,Lehren und Ausbilden,0.9,SK-DOM-011,Health Promotion & Prevention,Gesundheitsförderung und Prävention,0.8,SK-SOC-019,Training Material Development,Schulungsmaterial entwickeln,0.75,3
BN_0060,Acoustic Specialist,90110.0,other,high_ai_potential,Create noise maps and calculate noise exposure.,Lärmkarten erstellen und Schallbelastungen berechnen.,SK-COG-016,Working with Numbers,Arbeiten mit Zahlen,0.95,SK-TEC-007,Measurement & Testing,Messen und Prüfen,0.85,SK-DIG-003,Data Visualization,Datenvisualisierung,0.8,3
BN_0061,Acoustic Specialist,90110.0,other,ai_assisted,Work in science and research.,In der Wissenschaft und Forschung arbeiten.,SK-COG-008,Research & Analysis,Recherche und Analyse,0.95,SK-TEC-004,Lab & Research Methods,Labor- und Forschungsmethoden,0.85,SK-COG-015,Continuous Learning,Kontinuierliches Lernen,0.8,3
BN_0062,Acoustic Specialist,90110.0,other,stays_with_you,Examine the acoustic behavior of materials.,Das akustische Verhalten von Materialien untersuchen.,SK-COG-008,Research & Analysis,Recherche und Analyse,0.85,SK-TEC-007,Measurement & Testing,Messen und Prüfen,0.8,SK-TEC-006,Materials & Manufacturing Processes,Werkstoffe und Fertigungsverfahren,0.75,3
BN_0063,Acoustic Specialist,90110.0,other,ai_assisted,Complete administrative and organizational tasks.,Verwaltungs- und Organisationsaufgaben erledigen.,SK-OPS-008,Administrative Support,Verwaltung und Büroorganisation,0.9,SK-COG-003,Planning & Organizing,Planen und Organisieren,0.75,SK-OPS-010,Record Keeping & Documentation,Aktenführung und Dokumentation,0.7,3
BN_0064,Acoustic Specialist,90110.0,other,ai_assisted,Take on teaching activities.,Lehrtätigkeiten übernehmen.,SK-SOC-008,Teaching & Training,Lehren und Ausbilden,0.95,SK-SOC-001,Verbal Communication,Mündliche Kommunikation,0.75,,,,,2
BN_0065,Classical Studies Scholar,100535.0,other,ai_assisted,Pass on knowledge about ancient times.,Wissen über die Antike weitergeben.,SK-SOC-008,Teaching & Training,Lehren und Ausbilden,0.95,SK-SOC-001,Verbal Communication,Mündliche Kommunikation,0.85,SK-SOC-012,Public Speaking & Presenting,Vorträge und Präsentationen,0.75,3
BN_0066,Classical Studies Scholar,100535.0,other,ai_assisted,Collect and prepare historical sources and documents from ancient times.,Historische Quellen und Dokumente der Antike sammeln und aufbereiten.,SK-COG-008,Research & Analysis,Recherche und Analyse,0.9,SK-SOC-002,Writing & Reporting,Schreiben und Berichten,0.75,SK-COG-001,Critical Thinking,Kritisches Denken,0.7,3
BN_0067,Classical Studies Scholar,100535.0,other,ai_assisted,Edit texts from ancient sources.,Texte bearbeiten.,SK-SOC-002,Writing & Reporting,Schreiben und Berichten,0.85,SK-TEC-009,Translation & Interpreting,Übersetzen und Dolmetschen,0.75,,,,,2
BN_0068,Classical Studies Scholar,100535.0,other,high_ai_potential,Participate in research projects and write reports.,An Forschungsprojekten teilnehmen und Berichte schreiben.,SK-SOC-002,Writing & Reporting,Schreiben und Berichten,0.95,SK-COG-008,Research & Analysis,Recherche und Analyse,0.9,,,,,2
BN_0069,Classical Studies Scholar,100535.0,other,stays_with_you,"Plan, conduct classes, and administer exams.","Lehrveranstaltungen planen, durchführen und Prüfungen abnehmen.",SK-SOC-008,Teaching & Training,Lehren und Ausbilden,0.95,SK-COG-003,Planning & Organizing,Planen und Organisieren,0.9,SK-TEC-007,Measurement & Testing,Messen und Prüfen,0.8,3
BN_0070,Classical Studies Scholar,100535.0,other,ai_assisted,"Analyze, interpret, and describe sources from ancient times.","Quellen der Antike analysieren, interpretieren und beschreiben.",SK-COG-001,Critical Thinking,Kritisches Denken,0.95,SK-COG-008,Research & Analysis,Recherche und Analyse,0.85,SK-SOC-002,Writing & Reporting,Schreiben und Berichten,0.75,3
BN_0071,Animation Artist,27308.0,other,stays_with_you,"Perform comedy, slapstick, magic, and dance.","Comedy, Slapstick, Zauberkunst und Tanz vorführen.",SK-TEC-015,Artistic & Creative Production,Künstlerische und kreative Produktion,0.95,SK-SOC-012,Public Speaking & Presenting,Vorträge und Präsentationen,0.85,SK-SOC-001,Verbal Communication,Mündliche Kommunikation,0.75,3
BN_0072,Animation Artist,27308.0,other,ai_assisted,Practice your own numbers independently.,Die eigenen Nummern selbstständig einüben.,SK-COG-019,Taking Initiative,Eigeninitiative zeigen,0.85,,,,,,,,,1
BN_0073,Animation Artist,27308.0,other,stays_with_you,"Train gestures, facial expressions, and movements.","Gestik, Mimik und Bewegungen trainieren.",SK-SOC-008,Teaching & Training,Lehren und Ausbilden,0.85,,,,,,,,,1
BN_0074,Animation Artist,27308.0,other,ai_assisted,Choose the right clothing or costumes.,Die passende Kleidung oder Kostüme auswählen.,SK-COG-004,Decision Making,Entscheidungsfindung,0.9,SK-TEC-015,Artistic & Creative Production,Künstlerische und kreative Produktion,0.75,,,,,2
BN_0075,Animation Artist,27308.0,other,stays_with_you,Actively involve the audience in the show.,Das Publikum aktiv in die Show einbeziehen.,SK-SOC-012,Public Speaking & Presenting,Vorträge und Präsentationen,0.85,SK-SOC-001,Verbal Communication,Mündliche Kommunikation,0.8,,,,,2
BN_0076,Animation Artist,27308.0,other,ai_assisted,Expand the repertoire and develop new programs.,Das Repertoire erweitern und neue Programme entwickeln.,SK-COG-005,Creative Thinking,Kreatives Denken,0.9,SK-DOM-008,Education Program Design,Bildungsprogramm-Gestaltung,0.85,,,,,2
BN_0077,Animation Artist,27308.0,other,ai_assisted,Complete organizational tasks.,Organisatorische Aufgaben erledigen.,SK-COG-003,Planning & Organizing,Planen und Organisieren,0.85,SK-OPS-008,Administrative Support,Verwaltung und Büroorganisation,0.8,SK-COG-022,Time Management,Zeitmanagement,0.7,3
BN_0078,Animation Artist,27308.0,other,stays_with_you,Discuss programs and dates with clients.,Programme und Termine mit Auftraggebern absprechen.,SK-OPS-012,Event & Program Management,Veranstaltungs- und Programmmanagement,0.85,SK-SOC-003,Negotiation,Verhandlungsführung,0.8,SK-COG-003,Planning & Organizing,Planen und Organisieren,0.75,3
BN_0079,Animation Artist,27308.0,other,stays_with_you,Negotiate the fee.,Die Gage aushandeln.,SK-SOC-003,Negotiation,Verhandlungsführung,0.95,SK-OPS-023,Pricing & Cost Estimation,Preiskalkulation und Kostenschätzung,0.75,,,,,2
