job_code,job_title,job_title_en,category_code,sector_code,sector_name,adjustment_type,onet_source,reliability,total,human_centric_pct,ai_assisted_pct,agentic_potential_pct,high_automation_pct,mixed_pct,dominant_category,adjustment_applied
41203-101,Bachelor of Science - Biowissenschaften,Bachelor of Science - Life Sciences,41203,4,IT & Science,none,,HIGH,7.0,42.9,57.1,0.0,0.0,0.0,AI-Assisted,none
41303-101,Bachelor of Science - Chemie,Bachelor of Science - Chemistry,41303,4,IT & Science,none,,HIGH,9.0,55.6,44.4,0.0,0.0,0.0,Human-Centric,none
41383-101,Bachelor of Science - Chemie (anorganische Chemie),Bachelor of Science - Chemistry (Inorganic Chemistry),41383,4,IT & Science,none,,HIGH,6.0,83.3,16.7,0.0,0.0,0.0,Human-Centric,none
41103-100,Bachelor of Science - Mathematik,Bachelor of Science - Mathematics,41103,4,IT & Science,none,,HIGH,7.0,14.3,71.4,14.3,0.0,0.0,AI-Assisted,none
41283-104,Bachelor of Science - Molekularbiologie,Bachelor of Science - Molecular Biology,41283,4,IT & Science,none,,HIGH,10.0,70.0,20.0,10.0,0.0,0.0,Human-Centric,none
41403-101,Bachelor of Science - Physik,Bachelor of Science - Physics,41403,4,IT & Science,none,,HIGH,9.0,66.7,33.3,0.0,0.0,0.0,Human-Centric,none
41432-105,Baustoffprüfer/in,Construction Materials Tester,41432,4,IT & Science,none,,HIGH,10.0,90.0,10.0,0.0,0.0,0.0,Human-Centric,none
41432-111,Baustoffprüfer/in - Asphalttechnik,Construction Materials Tester - Asphalt Technology,41432,4,IT & Science,none,,HIGH,10.0,90.0,10.0,0.0,0.0,0.0,Human-Centric,none
41432-101,Baustoffprüfer/in - Bituminöse Massen,Construction Materials Tester - Bituminous Materials,41432,4,IT & Science,none,,HIGH,10.0,90.0,10.0,0.0,0.0,0.0,Human-Centric,none
41432-102,Baustoffprüfer/in - Boden,Construction Materials Tester - Soil,41432,4,IT & Science,none,,HIGH,10.0,90.0,10.0,0.0,0.0,0.0,Human-Centric,none
41432-107,Baustoffprüfer/in - Geotechnik,Construction Materials Tester - Geotechnics,41432,4,IT & Science,none,,HIGH,10.0,90.0,10.0,0.0,0.0,0.0,Human-Centric,none
41432-103,Baustoffprüfer/in - Mörtel und Beton,Construction Materials Tester - Mortar and Concrete,41432,4,IT & Science,none,,HIGH,10.0,90.0,10.0,0.0,0.0,0.0,Human-Centric,none
41432-110,Baustoffprüfer/in - Mörtel- und Betontechnik,Construction Materials Tester - Mortar and Concrete Technology,41432,4,IT & Science,none,,HIGH,10.0,90.0,10.0,0.0,0.0,0.0,Human-Centric,none
42313-110,Beamt(er/in) - Umweltverwaltung (geh. techn. Dienst),Civil Servant - Environmental Administration (Senior Technical Service),42313,4,IT & Science,none,,HIGH,11.0,63.6,36.4,0.0,0.0,0.0,Human-Centric,none
42314-111,Beamt(er/in) - Umweltverwaltung (höh. techn. Dienst),Civil Servant - Environmental Administration (Higher Technical Service),42314,4,IT & Science,none,,HIGH,17.0,52.9,47.1,0.0,0.0,0.0,Human-Centric,none
42143-100,Beamt(er/in) - Wetterdienst (geh. Dienst),Civil Servant - Weather Service (Senior Service),42143,4,IT & Science,none,,HIGH,10.0,80.0,20.0,0.0,0.0,0.0,Human-Centric,none
42142-100,Beamt(er/in) - Wetterdienst (mittl. Dienst),Civil Servant - Weather Service (Middle Service),42142,4,IT & Science,none,,HIGH,9.0,66.7,22.2,11.1,0.0,0.0,Human-Centric,none
41433-101,Betontechnologe/-technologin,Concrete Technologist,41433,4,IT & Science,none,,HIGH,8.0,87.5,0.0,12.5,0.0,0.0,Human-Centric,none
43113-112,Betriebsinformatiker/in,Business IT Specialist,43113,4,IT & Science,none,,HIGH,11.0,45.5,45.5,9.1,0.0,0.0,Human-Centric,none
43113-128,Betriebswirt/in (Fachschule) - E-Business,Business Administrator (Technical School) - E-Business,43113,4,IT & Science,none,,HIGH,11.0,45.5,45.5,9.1,0.0,0.0,Human-Centric,none
43113-153,Betriebswirt/in (Fachschule) - E-Government,Business Administrator (Technical School) - E-Government,43113,4,IT & Science,none,,HIGH,11.0,45.5,45.5,9.1,0.0,0.0,Human-Centric,none
43113-131,Betriebswirt/in (Fachschule) - Informationsverarbeitung,Business Administrator (Technical School) - Information Processing,43113,4,IT & Science,none,,HIGH,11.0,45.5,45.5,9.1,0.0,0.0,Human-Centric,none
42314-113,Betriebswirt/in (Hochschule) - Umweltökonomie,Business Administrator (University) - Environmental Economics,42314,4,IT & Science,none,,HIGH,17.0,52.9,47.1,0.0,0.0,0.0,Human-Centric,none
42293-100,Bezirksschornsteinfegermeister/in,District Master Chimney Sweep,42293,4,IT & Science,none,,HIGH,13.0,61.5,30.8,0.0,7.7,0.0,Human-Centric,none
41284-118,Biochemiker/in,Biochemist,41284,4,IT & Science,none,,HIGH,14.0,64.3,35.7,0.0,0.0,0.0,Human-Centric,none
43134-114,Bioinformatiker/in,Bioinformatician,43134,4,IT & Science,none,,HIGH,14.0,28.6,64.3,7.1,0.0,0.0,AI-Assisted,none
41204-104,Biologe/Biologin,Biologist,41204,4,IT & Science,none,,HIGH,5.0,40.0,60.0,0.0,0.0,0.0,AI-Assisted,none
41212-103,Biologielaborant/in,Biology Laboratory Technician,41212,4,IT & Science,onet_technical_added,DEFAULT,ADJUSTED_ONET,6.0,100.0,0.0,0.0,0.0,0.0,Human-Centric,none
41212-101,Biologisch-technische/r Assistent/in,Biological-Technical Assistant,41212,4,IT & Science,onet_technical_added,DEFAULT,ADJUSTED_ONET,6.0,100.0,0.0,0.0,0.0,0.0,Human-Centric,none
41184-123,Biomathematiker/in,Biomathematician,41184,4,IT & Science,onet_social_added,Mathematicians,ADJUSTED_ONET,6.0,18.2,81.8,0.0,0.0,0.0,AI-Assisted,onet_soft_skill
41114-104,Biometriker/in,Biometrician,41114,4,IT & Science,onet_social_added,Statisticians,ADJUSTED_ONET,8.0,18.0,82.0,0.0,0.0,0.0,AI-Assisted,onet_soft_skill
41284-120,Bioniker/in,Bionics Specialist,41284,4,IT & Science,none,,HIGH,14.0,64.3,35.7,0.0,0.0,0.0,Human-Centric,none
41484-116,Biophysiker/in,Biophysicist,41484,4,IT & Science,none,,HIGH,9.0,33.3,66.7,0.0,0.0,0.0,AI-Assisted,none
41283-105,Biotechniker/in (Genetik),Biotechnician (Genetics),41283,4,IT & Science,none,,HIGH,10.0,70.0,20.0,10.0,0.0,0.0,Human-Centric,none
41204-105,Biowissenschaftler/in,Life Scientist,41204,4,IT & Science,none,,HIGH,5.0,40.0,60.0,0.0,0.0,0.0,AI-Assisted,none
43414-125,Blockchain-Entwickler/in,Blockchain Developer,43414,4,IT & Science,none,,HIGH,15.0,13.3,86.7,0.0,0.0,0.0,AI-Assisted,none
41244-100,Botaniker/in,Botanist,41244,4,IT & Science,none,,HIGH,11.0,81.8,9.1,9.1,0.0,0.0,Human-Centric,none
43384-111,Business-Continuity-Manager/in,Business Continuity Manager,43384,4,IT & Science,none,,HIGH,16.0,43.8,56.2,0.0,0.0,0.0,AI-Assisted,none
43122-106,CAD-Organisator/in,CAD Coordinator,43122,4,IT & Science,none,,HIGH,10.0,70.0,30.0,0.0,0.0,0.0,Human-Centric,none
41312-101,Chemiebetriebsjungwerker/in,Chemical Plant Junior Worker,41312,4,IT & Science,onet_technical_added,DEFAULT,ADJUSTED_ONET,12.0,100.0,0.0,0.0,0.0,0.0,Human-Centric,none
41322-117,Chemielaborant/in,Chemical Laboratory Technician,41322,4,IT & Science,none,,HIGH,19.0,78.9,15.8,5.3,0.0,0.0,Human-Centric,none
41322-100,Chemielaborjungwerker/in,Chemical Laboratory Junior Worker,41322,4,IT & Science,none,,HIGH,19.0,78.9,15.8,5.3,0.0,0.0,Human-Centric,none
41312-102,Chemikant/in,Chemical Technician,41312,4,IT & Science,onet_technical_added,DEFAULT,ADJUSTED_ONET,12.0,100.0,0.0,0.0,0.0,0.0,Human-Centric,none
41304-105,Chemiker/in,Chemist,41304,4,IT & Science,none,,HIGH,9.0,44.4,55.6,0.0,0.0,0.0,AI-Assisted,none
41322-101,Chemisch-technische/r Assistent/in,Chemical Technical Assistant,41322,4,IT & Science,none,,HIGH,19.0,78.9,15.8,5.3,0.0,0.0,Human-Centric,none
43414-126,Cloud-Architect,Cloud Architect,43414,4,IT & Science,none,,HIGH,15.0,13.3,86.7,0.0,0.0,0.0,AI-Assisted,none
41184-119,Computermathematiker/in,Computer Mathematician,41184,4,IT & Science,onet_social_added,Computer and Information Research Scientists,ADJUSTED_ONET,6.0,22.9,77.1,0.0,0.0,0.0,AI-Assisted,onet_soft_skill
43104-132,Data Scientist,Data Scientist,43104,4,IT & Science,onet_social_added,Data Scientists,ADJUSTED_ONET,10.0,21.5,70.7,7.8,0.0,0.0,AI-Assisted,onet_soft_skill
43353-101,Data-Warehouse-Analyst/in,Data Warehouse Analyst,43353,4,IT & Science,none,,HIGH,13.0,15.4,76.9,7.7,0.0,0.0,AI-Assisted,none
43353-103,Datenbankadministrator/in,Database Administrator,43353,4,IT & Science,none,,HIGH,13.0,15.4,76.9,7.7,0.0,0.0,AI-Assisted,none
43353-104,Datenbankentwickler/in,Database Developer,43353,4,IT & Science,none,,HIGH,13.0,15.4,76.9,7.7,0.0,0.0,AI-Assisted,none
42334-100,Dekontaminateur/in,Decontamination Specialist,42334,4,IT & Science,none,,HIGH,19.0,84.2,15.8,0.0,0.0,0.0,Human-Centric,none
43323-120,DevOps Engineer,DevOps Engineer,43323,4,IT & Science,none,,HIGH,12.0,41.7,50.0,8.3,0.0,0.0,AI-Assisted,none
43414-103,E-Logistik-Entwickler/in,E-Logistics Developer,43414,4,IT & Science,none,,HIGH,15.0,13.3,86.7,0.0,0.0,0.0,AI-Assisted,none
43153-104,E-Marketing-Entwickler/in,E-Marketing Developer,43153,4,IT & Science,none,,HIGH,15.0,33.3,60.0,6.7,0.0,0.0,AI-Assisted,none
43333-103,EDV-Fachkraft,IT Specialist,43333,4,IT & Science,none,,HIGH,14.0,57.1,14.3,0.0,28.6,0.0,Human-Centric,none
43113-101,EDV-Organisator/in,IT Organizer,43113,4,IT & Science,none,,HIGH,11.0,45.5,45.5,9.1,0.0,0.0,Human-Centric,none
43413-102,ERP-Anwendungsentwickler/in,ERP Application Developer,43413,4,IT & Science,none,,HIGH,13.0,7.7,92.3,0.0,0.0,0.0,AI-Assisted,none
43224-104,ERP-Berater/in - ERP-Consultant,ERP Consultant,43224,4,IT & Science,none,,HIGH,9.0,33.3,66.7,0.0,0.0,0.0,AI-Assisted,none
43113-116,ERP-Organisator/in,ERP Organizer,43113,4,IT & Science,none,,HIGH,11.0,45.5,45.5,9.1,0.0,0.0,Human-Centric,none
43224-105,ERP-Systembetreuer/in,ERP System Administrator,43224,4,IT & Science,none,,HIGH,9.0,33.3,66.7,0.0,0.0,0.0,AI-Assisted,none
41422-111,Edelmetallprüfer/in,Precious Metal Tester,41422,4,IT & Science,none,,HIGH,13.0,84.6,7.7,7.7,0.0,0.0,Human-Centric,none
43153-113,Entwickler/in Digitale Medien,Digital Media Developer,43153,4,IT & Science,none,,HIGH,15.0,33.3,60.0,6.7,0.0,0.0,AI-Assisted,none
41274-121,Epidemiologe/Epidemiologin,Epidemiologist,41274,4,IT & Science,none,,HIGH,14.0,28.6,64.3,7.1,0.0,0.0,AI-Assisted,none
43384-110,Ethical Hacker,Ethical Hacker,43384,4,IT & Science,none,,HIGH,16.0,43.8,56.2,0.0,0.0,0.0,AI-Assisted,none
43102-107,Fachberater/in - Integrierte Systeme,Technical Consultant - Integrated Systems,43102,4,IT & Science,none,,HIGH,9.0,22.2,55.6,22.2,0.0,0.0,AI-Assisted,none
43412-106,Fachberater/in - Softwaretechniken,Technical Consultant - Software Technologies,43412,4,IT & Science,onet_social_added,Computer Systems Analysts,ADJUSTED_ONET,6.0,22.0,65.0,13.0,0.0,0.0,AI-Assisted,onet_soft_skill
43233-112,Fachberater/in - Vertrieb (Ausbildung),Technical Consultant - Sales (Training),43233,4,IT & Science,none,,HIGH,15.0,73.3,26.7,0.0,0.0,0.0,Human-Centric,none
41274-100,Fachhumangenetiker/in,Clinical Geneticist,41274,4,IT & Science,none,,HIGH,14.0,28.6,64.3,7.1,0.0,0.0,AI-Assisted,none
43412-103,Fachinformatiker/in - Anwendungsentwicklung,IT Specialist - Application Development,43412,4,IT & Science,onet_social_added,Computer Programmers,ADJUSTED_ONET,6.0,19.9,66.7,13.4,0.0,0.0,AI-Assisted,onet_soft_skill
43112-132,Fachinformatiker/in - Daten- und Prozessanalyse,IT Specialist - Data and Process Analysis,43112,4,IT & Science,none,,HIGH,9.0,22.2,55.6,22.2,0.0,0.0,AI-Assisted,none
43312-100,Fachinformatiker/in - Digitale Vernetzung,IT Specialist - Digital Networking,43312,4,IT & Science,none,,HIGH,8.0,62.5,25.0,12.5,0.0,0.0,Human-Centric,none
43102-102,Fachinformatiker/in - Systemintegration,IT Specialist - System Integration,43102,4,IT & Science,none,,HIGH,9.0,22.2,55.6,22.2,0.0,0.0,AI-Assisted,none
42313-106,Fachkraft - Umweltschutz,Environmental Protection Specialist,42313,4,IT & Science,none,,HIGH,11.0,63.6,36.4,0.0,0.0,0.0,Human-Centric,none
43113-104,Fachwirt/in - Computer-Management,Certified Specialist - Computer Management,43113,4,IT & Science,none,,HIGH,11.0,45.5,45.5,9.1,0.0,0.0,Human-Centric,none
42313-111,Fachwirt/in - Energiewirtschaft,Certified Specialist - Energy Industry,42313,4,IT & Science,none,,HIGH,11.0,63.6,36.4,0.0,0.0,0.0,Human-Centric,none
42313-107,Fachwirt/in - Entsorgungswirtschaft,Certified Specialist - Waste Management,42313,4,IT & Science,none,,HIGH,11.0,63.6,36.4,0.0,0.0,0.0,Human-Centric,none
42313-101,Fachwirt/in - Umweltschutz,Certified Specialist - Environmental Protection,42313,4,IT & Science,none,,HIGH,11.0,63.6,36.4,0.0,0.0,0.0,Human-Centric,none
43384-100,Fraud-Analyst/in,Fraud Analyst,43384,4,IT & Science,none,,HIGH,16.0,43.8,56.2,0.0,0.0,0.0,AI-Assisted,none
43423-111,Game Programmer,Game Programmer,43423,4,IT & Science,none,,HIGH,11.0,27.3,54.5,18.2,0.0,0.0,AI-Assisted,none
41483-100,Gastechniker/in,Gas Technician,41483,4,IT & Science,onet_tie_broken,DEFAULT,ADJUSTED_ONET,6.0,50.0,33.3,16.7,0.0,0.0,Human-Centric,none
42313-102,Gebäudeenergieberater/in,Building Energy Consultant,42313,4,IT & Science,none,,HIGH,11.0,63.6,36.4,0.0,0.0,0.0,Human-Centric,none
41284-102,Genetiker/in,Geneticist,41284,4,IT & Science,none,,HIGH,14.0,64.3,35.7,0.0,0.0,0.0,Human-Centric,none
42134-102,Geograf/in,Geographer,42134,4,IT & Science,none,,HIGH,13.0,23.1,69.2,7.7,0.0,0.0,AI-Assisted,none
43144-106,Geoinformatiker/in,Geoinformatics Specialist,43144,4,IT & Science,none,,HIGH,12.0,33.3,58.3,8.3,0.0,0.0,AI-Assisted,none
42124-119,Geologe/Geologin,Geologist,42124,4,IT & Science,none,,HIGH,16.0,62.5,37.5,0.0,0.0,0.0,Human-Centric,none
42112-100,Geologielaborant/in,Geology Laboratory Technician,42112,4,IT & Science,none,,HIGH,7.0,71.4,14.3,0.0,14.3,0.0,Human-Centric,none
42124-120,Geophysiker/in,Geophysicist,42124,4,IT & Science,none,,HIGH,16.0,62.5,37.5,0.0,0.0,0.0,Human-Centric,none
42124-125,Geowissenschaftler/in,Geoscientist,42124,4,IT & Science,none,,HIGH,16.0,62.5,37.5,0.0,0.0,0.0,Human-Centric,none
42314-112,Geoökologe/-ökologin,Geoecologist,42314,4,IT & Science,none,,HIGH,17.0,52.9,47.1,0.0,0.0,0.0,Human-Centric,none
42324-102,Gewässerschutzbeauftragte/r,Water Protection Officer,42324,4,IT & Science,none,,HIGH,12.0,58.3,41.7,0.0,0.0,0.0,Human-Centric,none
42323-100,Gewässerschutztechniker/in,Water Protection Technician,42323,4,IT & Science,none,,HIGH,11.0,72.7,27.3,0.0,0.0,0.0,Human-Centric,none
41274-101,Humanbiologe/-biologin,Human Biologist,41274,4,IT & Science,none,,HIGH,14.0,28.6,64.3,7.1,0.0,0.0,AI-Assisted,none
42124-121,Hydrologe/Hydrologin,Hydrologist,42124,4,IT & Science,none,,HIGH,16.0,62.5,37.5,0.0,0.0,0.0,Human-Centric,none
43343-106,IT-Administrator/in,IT Administrator,43343,4,IT & Science,none,,HIGH,13.0,53.8,38.5,0.0,7.7,0.0,Human-Centric,none
43224-101,IT-Berater/in,IT Consultant,43224,4,IT & Science,none,,HIGH,9.0,33.3,66.7,0.0,0.0,0.0,AI-Assisted,none
43323-107,IT-Entwickler/in,IT Developer,43323,4,IT & Science,none,,HIGH,12.0,41.7,50.0,8.3,0.0,0.0,AI-Assisted,none
43323-103,IT-Konfigurationskoordinator/in,IT Configuration Coordinator,43323,4,IT & Science,none,,HIGH,12.0,41.7,50.0,8.3,0.0,0.0,AI-Assisted,none
43223-102,IT-Kundenbetreuer/in,IT Customer Service Representative,43223,4,IT & Science,none,,HIGH,5.0,60.0,40.0,0.0,0.0,0.0,Human-Centric,none
43413-103,IT-Lösungsentwickler/in,IT Solution Developer,43413,4,IT & Science,none,,HIGH,13.0,7.7,92.3,0.0,0.0,0.0,AI-Assisted,none
43394-105,IT-Manager/in,IT Manager,43394,4,IT & Science,none,,HIGH,12.0,75.0,25.0,0.0,0.0,0.0,Human-Centric,none
43214-114,IT-Produktkoordinator/in,IT Product Coordinator,43214,4,IT & Science,none,,HIGH,16.0,37.5,62.5,0.0,0.0,0.0,AI-Assisted,none
43323-105,IT-Projektkoordinator/in,IT Project Coordinator,43323,4,IT & Science,none,,HIGH,12.0,41.7,50.0,8.3,0.0,0.0,AI-Assisted,none
43394-102,IT-Projektleiter/in,IT Project Manager,43394,4,IT & Science,none,,HIGH,12.0,75.0,25.0,0.0,0.0,0.0,Human-Centric,none
43323-104,IT-Qualitätssicherungskoordinator/in,IT Quality Assurance Coordinator,43323,4,IT & Science,none,,HIGH,12.0,41.7,50.0,8.3,0.0,0.0,AI-Assisted,none
43384-101,IT-Sicherheitskoordinator/in,IT Security Coordinator,43384,4,IT & Science,none,,HIGH,16.0,43.8,56.2,0.0,0.0,0.0,AI-Assisted,none
43232-100,IT-System-Kaufmann/-frau,IT Systems Specialist,43232,4,IT & Science,onet_tie_broken,Network and Computer Systems Administrators,ADJUSTED_ONET,8.0,50.0,50.0,0.0,0.0,0.0,Human-Centric,none
43343-103,IT-Systemadministrator/in,IT System Administrator,43343,4,IT & Science,none,,HIGH,13.0,53.8,38.5,0.0,7.7,0.0,Human-Centric,none
43214-100,IT-Systemanalytiker/in,IT Systems Analyst,43214,4,IT & Science,none,,HIGH,16.0,37.5,62.5,0.0,0.0,0.0,AI-Assisted,none
43214-101,IT-Systemplaner/in,IT Systems Planner,43214,4,IT & Science,none,,HIGH,16.0,37.5,62.5,0.0,0.0,0.0,AI-Assisted,none
43323-108,IT-Tester/in,IT Tester,43323,4,IT & Science,none,,HIGH,12.0,41.7,50.0,8.3,0.0,0.0,AI-Assisted,none
43323-106,IT-Testkoordinator/in,IT Test Coordinator,43323,4,IT & Science,none,,HIGH,12.0,41.7,50.0,8.3,0.0,0.0,AI-Assisted,none
43233-104,IT-Vertriebsbeauftragte/r,IT Sales Representative,43233,4,IT & Science,none,,HIGH,15.0,73.3,26.7,0.0,0.0,0.0,Human-Centric,none
43233-105,IT-Ökonom/in,IT Economist,43233,4,IT & Science,none,,HIGH,15.0,73.3,26.7,0.0,0.0,0.0,Human-Centric,none
42324-101,Immissionsschutzbeauftragte/r,Emissions Control Officer,42324,4,IT & Science,none,,HIGH,12.0,58.3,41.7,0.0,0.0,0.0,Human-Centric,none
41393-103,Industriemeister/in - Chemie,Industrial Master - Chemistry,41393,4,IT & Science,none,,HIGH,9.0,66.7,33.3,0.0,0.0,0.0,Human-Centric,none
41393-102,Industriemeister/in - Pharmazie,Industrial Master - Pharmacy,41393,4,IT & Science,none,,HIGH,9.0,66.7,33.3,0.0,0.0,0.0,Human-Centric,none
43123-111,Industriesystemtechniker/in,Industrial Systems Technician,43123,4,IT & Science,none,,HIGH,9.0,22.2,77.8,0.0,0.0,0.0,AI-Assisted,none
43122-102,Industrietechnologe/-technologin - Datentechnik,Industrial Technologist - Data Technology,43122,4,IT & Science,none,,HIGH,10.0,70.0,30.0,0.0,0.0,0.0,Human-Centric,none
43104-121,Informatiker/in (Hochschule),Computer Scientist (University),43104,4,IT & Science,onet_social_added,Computer and Information Research Scientists,ADJUSTED_ONET,10.0,22.9,69.4,7.7,0.0,0.0,AI-Assisted,onet_soft_skill
43103-104,Informatiker/in (Weiterbildung),Computer Scientist (Continuing Education),43103,4,IT & Science,none,,HIGH,7.0,42.9,57.1,0.0,0.0,0.0,AI-Assisted,none
43112-105,Informatikkaufmann/-frau,IT Specialist in Business,43112,4,IT & Science,none,,HIGH,9.0,22.2,55.6,22.2,0.0,0.0,AI-Assisted,none
43114-114,Informationsmanager/in,Information Manager,43114,4,IT & Science,none,,HIGH,13.0,23.1,76.9,0.0,0.0,0.0,AI-Assisted,none
41434-101,Ingenieur/in - Baustoffe,Engineer - Building Materials,41434,4,IT & Science,none,,HIGH,8.0,87.5,12.5,0.0,0.0,0.0,Human-Centric,none
41284-146,Ingenieur/in - Biomechanik,Engineer - Biomechanics,41284,4,IT & Science,none,,HIGH,14.0,64.3,35.7,0.0,0.0,0.0,Human-Centric,none
41214-109,Ingenieur/in - Biotechnologie,Engineer - Biotechnology,41214,4,IT & Science,none,,HIGH,12.0,58.3,41.7,0.0,0.0,0.0,Human-Centric,none
41314-117,Ingenieur/in - Chemietechnik,Engineer - Chemical Engineering,41314,4,IT & Science,none,,HIGH,16.0,75.0,25.0,0.0,0.0,0.0,Human-Centric,none
42114-105,Ingenieur/in - Geotechnik,Engineer - Geotechnical Engineering,42114,4,IT & Science,none,,HIGH,10.0,70.0,30.0,0.0,0.0,0.0,Human-Centric,none
41424-118,"Ingenieur/in - Glas, Keramik, Bindemittel","Engineer - Glass, Ceramics, Binders",41424,4,IT & Science,none,,HIGH,7.0,71.4,28.6,0.0,0.0,0.0,Human-Centric,none
41424-119,Ingenieur/in - Materialwissenschaften,Engineer - Materials Science,41424,4,IT & Science,none,,HIGH,7.0,71.4,28.6,0.0,0.0,0.0,Human-Centric,none
41314-118,Ingenieur/in - Pharmatechnik,Engineer - Pharmaceutical Technology,41314,4,IT & Science,none,,HIGH,16.0,75.0,25.0,0.0,0.0,0.0,Human-Centric,none
41414-108,Ingenieur/in - Physik,Engineer - Physics,41414,4,IT & Science,none,,HIGH,8.0,87.5,12.5,0.0,0.0,0.0,Human-Centric,none
41314-119,Ingenieur/in - Technologie der Kosmetika und Waschmittel,Engineer - Cosmetics and Detergents Technology,41314,4,IT & Science,none,,HIGH,16.0,75.0,25.0,0.0,0.0,0.0,Human-Centric,none
42204-109,Ingenieur/in - Umweltschutz/Umwelttechnik,Engineer - Environmental Protection/Environmental Technology,42204,4,IT & Science,none,,HIGH,12.0,41.7,58.3,0.0,0.0,0.0,AI-Assisted,none
41424-117,Ingenieur/in - Werkstofftechnik,Engineer - Materials Engineering,41424,4,IT & Science,none,,HIGH,7.0,71.4,28.6,0.0,0.0,0.0,Human-Centric,none
43124-107,Ingenieur/in - technische Informatik,Engineer - Technical Computer Science,43124,4,IT & Science,none,,HIGH,11.0,54.5,36.4,9.1,0.0,0.0,Human-Centric,none
43124-108,Ingenieurinformatiker/in,Engineering Computer Scientist,43124,4,IT & Science,none,,HIGH,11.0,54.5,36.4,9.1,0.0,0.0,Human-Centric,none
43153-112,Internettechnologe/-technologin,Internet Technologist,43153,4,IT & Science,none,,HIGH,15.0,33.3,60.0,6.7,0.0,0.0,AI-Assisted,none
43112-131,Kaufmann/-frau - Digitalisierungsmanagement,Business Manager - Digitalization Management,43112,4,IT & Science,none,,HIGH,9.0,22.2,55.6,22.2,0.0,0.0,AI-Assisted,none
43232-101,Kaufmann/-frau - IT-System-Management,Business Manager - IT System Management,43232,4,IT & Science,onet_tie_broken,Computer Systems Analysts,ADJUSTED_ONET,8.0,50.0,50.0,0.0,0.0,0.0,Human-Centric,none
41484-117,Kernphysiker/in,Nuclear Physicist,41484,4,IT & Science,none,,HIGH,9.0,33.3,66.7,0.0,0.0,0.0,AI-Assisted,none
