task_id,occupation,berufenet_id,occupation_de,sector,task_text,paraphrase_de,label_5cat,PHYS,TPS,SIR,SPEC,VERIF,STD
BN_0016,Waste Consultant,137138.0,Data-Consultant,other,Recognize environmental hazards from improper waste disposal.,Umweltgefahren durch falsche Abfallentsorgung erkennen.,human_led,1,0,0,1,1,1
BN_0017,Waste Consultant,137138.0,Data-Consultant,other,Create concepts for waste reduction and recycling for households and businesses.,Konzepte zur Abfallvermeidung und zum Recycling für Haushalte und Unternehmen erstellen.,ai_assisted,0,0,0,2,1,1
BN_0018,Waste Consultant,137138.0,Data-Consultant,other,Manage websites for waste management.,Websites zur Abfallwirtschaft verwalten.,high_ai_potential,0,0,0,2,2,2
BN_0019,Waste Consultant,137138.0,Data-Consultant,other,Create statistics on waste treatment.,Statistiken zur Abfallbehandlung erstellen.,automatable,0,0,0,3,3,3
BN_0020,Waste Consultant,137138.0,Data-Consultant,other,Create and update training materials for different target groups.,Schulungsmaterial für verschiedene Zielgruppen erstellen und aktualisieren.,ai_assisted,0,0,0,2,1,1
BN_0021,Waste Consultant,137138.0,Data-Consultant,other,Manage regional waste infrastructures like recycling centers.,Regionale Abfallinfrastrukturen wie Wertstoffhöfe betreuen.,human_led,1,0,0,2,2,2
BN_0022,Account Manager,14475.0,Account-Manager/in,finance,Build and maintain customer relationships.,Kundenbeziehungen aufbauen und pflegen.,human_led,0,1,1,1,1,1
BN_0023,Account Manager,14475.0,Account-Manager/in,finance,Conduct consulting and sales talks and gather important information.,Beratungs- und Verkaufsgespräche führen und wichtige Informationen sammeln.,human_led,0,1,1,1,1,1
BN_0024,Account Manager,14475.0,Account-Manager/in,finance,Analyze business processes and customer needs.,Die Geschäftsprozesse und Bedürfnisse der Kunden analysieren.,human_led,0,0,1,1,2,1
BN_0025,Account Manager,14475.0,Account-Manager/in,finance,Support customers in new business areas and offer training.,Kunden bei neuen Geschäftsfeldern unterstützen und Schulungen anbieten.,human_led,0,1,1,1,1,1
BN_0026,Account Manager,14475.0,Account-Manager/in,finance,Plan sales areas and create development plans.,Verkaufsgebiete planen und Entwicklungspläne erstellen.,ai_assisted,0,0,0,2,1,2
BN_0027,Account Manager,14475.0,Account-Manager/in,finance,Prepare information on products and services.,Informationen zu Produkten und Dienstleistungen aufbereiten.,ai_assisted,0,0,0,1,1,1
BN_0028,Account Manager,14475.0,Account-Manager/in,finance,Develop ideas to take advantage of market opportunities with customers.,"Ideen entwickeln, um gemeinsam mit Kunden Marktchancen zu nutzen.",ai_assisted,0,0,0,1,1,1
BN_0029,Account Manager,14475.0,Account-Manager/in,finance,Coordinate communication in sales.,Die Kommunikation im Vertrieb koordinieren.,human_led,0,0,1,1,1,1
BN_0030,Account Manager,14475.0,Account-Manager/in,finance,work with management and other departments.,Mit der Geschäftsleitung und anderen Abteilungen zusammenarbeiten.,human_led,0,0,1,0,0,0
BN_0031,Account Manager,14475.0,Account-Manager/in,finance,"Analyze development measures, for example through market observations.","Entwicklungsmaßnahmen analysieren, zum Beispiel durch Marktbeobachtungen.",ai_assisted,0,0,0,1,2,1
BN_0032,Account Manager,14475.0,Account-Manager/in,finance,Evaluate sales potentials and measures.,Vertriebspotenziale und Maßnahmen bewerten.,ai_assisted,0,0,0,1,1,1
BN_0033,Account Manager,14475.0,Account-Manager/in,finance,Start and support sales activities.,Vertriebsaktivitäten starten und begleiten.,ai_assisted,0,0,0,1,1,1
BN_0034,Account Manager,14475.0,Account-Manager/in,finance,Use fairs and events to present the company and gain new customers.,"Messen und Events nutzen, um das Unternehmen zu präsentieren und neue Kunden zu gewinnen.",human_led,1,0,1,1,1,1
BN_0035,Affiliate Manager,132516.0,Affiliate-Manager/in,other,Manage the partner program between provider and sales partner.,Das Partnerprogramm zwischen Anbieter und Vertriebspartner betreuen.,human_led,0,0,1,1,1,1
BN_0036,Affiliate Manager,132516.0,Affiliate-Manager/in,other,Develop concepts to improve processes in the partner program.,Konzepte zur Verbesserung der Abläufe im Partnerprogramm entwickeln.,ai_assisted,0,0,0,2,1,1
BN_0037,Affiliate Manager,132516.0,Affiliate-Manager/in,other,Plan online campaigns.,Onlinekampagnen planen.,ai_assisted,0,0,0,2,1,2
BN_0038,Affiliate Manager,132516.0,Affiliate-Manager/in,other,Ensure that the technology works as a link between affiliates and providers.,"Als Verbindung zwischen Affiliates und Anbietern sicherstellen, dass die Technik funktioniert.",ai_assisted,0,0,0,1,1,1
BN_0039,Affiliate Manager,132516.0,Affiliate-Manager/in,other,Analyze the websites of affiliates and check visitor numbers and sales success.,Die Webseiten der Affiliates analysieren und den Besucherzahlen sowie den Verkaufserfolg prüfen.,high_ai_potential,0,0,0,2,2,2
BN_0040,Affiliate Manager,132516.0,Affiliate-Manager/in,other,Attract new affiliates and activate them for the partner program,Neue Affiliates gewinnen und für das Partnerprogramm freischalten.,human_led,0,1,1,1,1,1
BN_0041,Affiliate Manager,132516.0,Affiliate-Manager/in,other,Create current reports and statistics.,Aktuelle Berichte und Statistiken erstellen.,automatable,0,0,0,3,3,3
BN_0042,Affiliate Manager,132516.0,Affiliate-Manager/in,other,Be responsible for the budget.,Für das Budget verantwortlich sein.,ai_assisted,0,0,0,1,1,1
BN_0043,Agile Coach / Scrum Master,133352.0,Agiler Coach / Scrum Master,management,Encourage employees and teams to self-organize.,Mitarbeiter und Teams zur Selbstorganisation anregen.,human_led,0,1,0,1,1,1
BN_0044,Agile Coach / Scrum Master,133352.0,Agiler Coach / Scrum Master,management,"Teach, facilitate, and motivate in agile teams.","In agilen Teams vermitteln, moderieren und motivieren.",human_led,0,0,1,0,0,1
BN_0045,Agile Coach / Scrum Master,133352.0,Agiler Coach / Scrum Master,management,Plan and lead training on agile methods.,Schulungen zu agilen Methoden planen und leiten.,human_led,0,0,1,2,1,2
BN_0046,Agile Coach / Scrum Master,133352.0,Agiler Coach / Scrum Master,management,Organize and conduct regular short meetings.,Regelmäßige kurze Besprechungen organisieren und durchführen.,human_led,0,0,1,1,1,1
BN_0047,Agile Coach / Scrum Master,133352.0,Agiler Coach / Scrum Master,management,Quickly make deviations from sprint goals visible and fix them.,Abweichungen von Sprintzielen schnell sichtbar machen und beheben.,ai_assisted,0,0,0,1,1,1
BN_0048,Agile Coach / Scrum Master,133352.0,Agiler Coach / Scrum Master,management,address recurring problems and find solutions as a team.,Wiederkehrende Probleme ansprechen und im Team Lösungen finden.,ai_assisted,0,0,0,1,1,1
BN_0049,Agile Coach / Scrum Master,133352.0,Agiler Coach / Scrum Master,management,Hold meetings after work cycles to reflect on teamwork.,"Nach Arbeitszyklen Meetings abhalten, um die Teamarbeit zu reflektieren.",human_led,0,0,1,1,1,1
BN_0050,Agile Coach / Scrum Master,133352.0,Agiler Coach / Scrum Master,management,Introduce a continuous improvement process for workflows.,Einen kontinuierlichen Verbesserungsprozess für Abläufe einführen.,ai_assisted,0,0,0,1,1,1
BN_0051,Agile Coach / Scrum Master,133352.0,Agiler Coach / Scrum Master,management,Regularly inform teams about important numbers and facts.,Teams regelmäßig über wichtige Zahlen und Fakten informieren.,human_led,0,0,1,1,1,1
BN_0052,Agile Coach / Scrum Master,133352.0,Agiler Coach / Scrum Master,management,Review and analyze results of agile project management.,Ergebnisse des agilen Projektmanagements überprüfen und analysieren.,ai_assisted,0,0,0,1,2,1
BN_0053,Agile Coach / Scrum Master,133352.0,Agiler Coach / Scrum Master,management,conduct negotiations with customers and authorities,Verhandlungen mit Kunden und Behörden führen.,human_led,0,1,1,1,1,1
BN_0054,Acoustic Specialist,90110.0,Bioniker/in,other,Apply research results on acoustics and control sound waves.,Forschungsergebnisse zur Akustik anwenden und Schallwellen steuern.,ai_assisted,0,0,0,1,1,1
BN_0055,Acoustic Specialist,90110.0,Bioniker/in,other,Develop pleasant engine and driving sounds for vehicles.,Angenehme Motor- und Fahrtgeräusche für Fahrzeuge entwickeln.,ai_assisted,0,0,0,2,1,1
BN_0056,Acoustic Specialist,90110.0,Bioniker/in,other,Examine and improve sounds and noises for movies.,Geräusche und Klänge für Filme untersuchen und verbessern.,ai_assisted,0,0,0,1,1,1
BN_0057,Acoustic Specialist,90110.0,Bioniker/in,other,Advise on permits and court proceedings and create expert opinions.,Bei Genehmigungen und Gerichtsverfahren beraten und Gutachten erstellen.,human_led,0,1,1,2,1,1
BN_0058,Acoustic Specialist,90110.0,Bioniker/in,other,Analyze the perception of sound and its causes.,Die Wahrnehmung von Schall und dessen Ursachen analysieren.,ai_assisted,0,0,0,1,1,1
BN_0059,Acoustic Specialist,90110.0,Bioniker/in,other,Offer training to avoid noise.,Schulungen zur Vermeidung von Lärm anbieten.,human_led,0,1,0,1,1,1
BN_0060,Acoustic Specialist,90110.0,Bioniker/in,other,Create noise maps and calculate noise exposure.,Lärmkarten erstellen und Schallbelastungen berechnen.,high_ai_potential,0,0,0,2,2,2
BN_0061,Acoustic Specialist,90110.0,Bioniker/in,other,Work in science and research.,In der Wissenschaft und Forschung arbeiten.,ai_assisted,0,0,0,0,0,0
BN_0062,Acoustic Specialist,90110.0,Bioniker/in,other,Examine the acoustic behavior of materials.,Das akustische Verhalten von Materialien untersuchen.,human_led,1,0,0,1,1,1
BN_0063,Acoustic Specialist,90110.0,Bioniker/in,other,Complete administrative and organizational tasks.,Verwaltungs- und Organisationsaufgaben erledigen.,ai_assisted,0,0,0,1,1,1
BN_0064,Acoustic Specialist,90110.0,Bioniker/in,other,Take on teaching activities.,Lehrtätigkeiten übernehmen.,ai_assisted,0,0,0,1,1,1
BN_0065,Classical Studies Scholar,100535.0,Altertumswissenschaftler/in,other,Pass on knowledge about ancient times.,Wissen über die Antike weitergeben.,ai_assisted,0,0,0,1,1,1
BN_0066,Classical Studies Scholar,100535.0,Altertumswissenschaftler/in,other,Collect and prepare historical sources and documents from ancient times.,Historische Quellen und Dokumente der Antike sammeln und aufbereiten.,ai_assisted,0,0,0,1,1,1
BN_0067,Classical Studies Scholar,100535.0,Altertumswissenschaftler/in,other,Edit texts from ancient sources.,Texte bearbeiten.,ai_assisted,0,0,0,2,1,1
BN_0068,Classical Studies Scholar,100535.0,Altertumswissenschaftler/in,other,Participate in research projects and write reports.,An Forschungsprojekten teilnehmen und Berichte schreiben.,high_ai_potential,0,0,0,2,2,2
BN_0069,Classical Studies Scholar,100535.0,Altertumswissenschaftler/in,other,"Plan, conduct classes, and administer exams.","Lehrveranstaltungen planen, durchführen und Prüfungen abnehmen.",human_led,0,0,1,2,1,2
BN_0070,Classical Studies Scholar,100535.0,Altertumswissenschaftler/in,other,"Analyze, interpret, and describe sources from ancient times.","Quellen der Antike analysieren, interpretieren und beschreiben.",ai_assisted,0,0,0,1,1,1
BN_0071,Animation Artist,27308.0,Animationskünstler/in,other,"Perform comedy, slapstick, magic, and dance.","Comedy, Slapstick, Zauberkunst und Tanz vorführen.",human_led,1,0,0,0,0,0
BN_0072,Animation Artist,27308.0,Animationskünstler/in,other,Practice your own numbers independently.,Die eigenen Nummern selbstständig einüben.,ai_assisted,0,0,0,1,1,1
BN_0073,Animation Artist,27308.0,Animationskünstler/in,other,"Train gestures, facial expressions, and movements.","Gestik, Mimik und Bewegungen trainieren.",human_led,1,0,1,1,1,1
BN_0074,Animation Artist,27308.0,Animationskünstler/in,other,Choose the right clothing or costumes.,Die passende Kleidung oder Kostüme auswählen.,ai_assisted,0,0,0,1,1,1
BN_0075,Animation Artist,27308.0,Animationskünstler/in,other,Actively involve the audience in the show.,Das Publikum aktiv in die Show einbeziehen.,human_led,0,1,1,0,0,0
BN_0076,Animation Artist,27308.0,Animationskünstler/in,other,Expand the repertoire and develop new programs.,Das Repertoire erweitern und neue Programme entwickeln.,ai_assisted,0,0,0,1,1,1
BN_0077,Animation Artist,27308.0,Animationskünstler/in,other,Complete organizational tasks.,Organisatorische Aufgaben erledigen.,ai_assisted,0,0,0,0,0,0
BN_0078,Animation Artist,27308.0,Animationskünstler/in,other,Discuss programs and dates with clients.,Programme und Termine mit Auftraggebern absprechen.,human_led,0,0,1,1,1,1
BN_0079,Animation Artist,27308.0,Animationskünstler/in,other,Negotiate the fee.,Die Gage aushandeln.,human_led,0,1,1,0,0,0
BN_0080,Investment Advisor,6773.0,Anlageberater/in,other,Inform clients about investment options and finalize contracts.,Kunden über Anlagemöglichkeiten informieren und Verträge abschließen.,human_led,0,0,1,2,2,2
BN_0081,Investment Advisor,6773.0,Anlageberater/in,other,Determine the investment goals and risk tolerance of the clients.,Die Anlageziele und Risikobereitschaft der Kunden ermitteln.,human_led,0,1,1,1,1,1
BN_0082,Investment Advisor,6773.0,Anlageberater/in,other,Assess the financial situation of customers.,Die wirtschaftlichen Verhältnisse der Kunden beurteilen.,ai_assisted,0,0,0,1,1,1
BN_0083,Investment Advisor,6773.0,Anlageberater/in,other,Develop individual investment strategies.,Individuelle Anlagestrategien entwickeln.,ai_assisted,0,0,0,2,1,1
BN_0084,Investment Advisor,6773.0,Anlageberater/in,other,Provide information sheets on financial instruments before the conclusion.,Vor dem Abschluss Informationsblätter zu Finanzinstrumenten bereitstellen.,high_ai_potential,0,0,0,2,2,2
BN_0085,Investment Advisor,6773.0,Anlageberater/in,other,Sign contracts with clients and be available as a contact person.,Verträge mit Kunden abschließen und als Ansprechpartner zur Verfügung stehen.,ai_assisted,0,0,0,1,1,1
BN_0086,Investment Advisor,6773.0,Anlageberater/in,other,Document consultation talks and agreements.,Beratungsgespräche und Abschlüsse dokumentieren.,automatable,0,0,0,3,3,3
BN_0087,Investment Advisor,6773.0,Anlageberater/in,other,Observe and analyze money and capital markets.,Geld- und Kapitalmärkte beobachten und analysieren.,ai_assisted,0,0,0,1,2,1
BN_0088,Investment Advisor,6773.0,Anlageberater/in,other,Research information on the internet and in databases.,Informationen im Internet und in Datenbanken recherchieren.,ai_assisted,0,0,0,1,1,1
BN_0089,Investment Advisor,6773.0,Anlageberater/in,other,Evaluate trade journals and newspapers.,Fachzeitschriften und Zeitungen auswerten.,ai_assisted,0,0,0,1,1,1
BN_0090,Investment Advisor,6773.0,Anlageberater/in,other,Monitor the development of individual titles in the fund.,Die Entwicklung der Einzeltitel in den Fonds beobachten.,high_ai_potential,0,0,0,2,2,2
BN_0091,Investment Advisor,6773.0,Anlageberater/in,other,Handle internal processes in the organization.,Innere Vorgänge in der Organisation abwickeln.,ai_assisted,0,0,0,0,0,0
BN_0092,Pharmacist,13971.0,Pharmazeut/in,health,Sell medicines and medical products.,Arzneimittel und Medizinprodukte verkaufen.,human_led,1,0,1,2,2,2
BN_0093,Pharmacist,13971.0,Pharmazeut/in,health,Advise customers and medical staff on medications.,Kunden und medizinisches Personal zu Arzneimitteln beraten.,human_led,0,1,1,1,1,1
BN_0094,Pharmacist,13971.0,Pharmazeut/in,health,train and further educate professionals.,Fachkräfte aus- und weiterbilden.,human_led,0,0,1,1,1,1
BN_0095,Pharmacist,13971.0,Pharmazeut/in,health,Assist in creating the medication list.,An der Erstellung der Arzneimittelliste mitarbeiten.,sensitive,0,0,0,2,2,2
BN_0096,Pharmacist,13971.0,Pharmazeut/in,health,Develop new substances and methods for quality control.,Neue Wirkstoffe und Verfahren zur Qualitätskontrolle entwickeln.,ai_assisted,0,0,0,1,1,1
BN_0097,Pharmacist,13971.0,Pharmazeut/in,health,Create product information for medicines.,Produktinformationen für Arzneimittel erstellen.,sensitive,0,0,0,2,2,2
BN_0098,Pharmacist,13971.0,Pharmazeut/in,health,Document quality issues and side effects.,Qualitätsmängel und Nebenwirkungen dokumentieren.,sensitive,0,0,0,3,2,3
BN_0099,Pharmacist,13971.0,Pharmazeut/in,health,Develop methods to investigate harmful substances in the environment.,Methoden zur Untersuchung schädlicher Stoffe in der Umwelt entwickeln.,ai_assisted,0,0,0,2,1,1
BN_0100,Pharmacist,13971.0,Pharmazeut/in,health,Prepare the approval of medicines.,Die Zulassung von Arzneimitteln vorbereiten.,sensitive,0,0,0,2,2,2
BN_0101,Pharmacist,13971.0,Pharmazeut/in,health,Monitor testing laboratories.,Prüflaboratorien überwachen.,sensitive,0,0,0,2,2,2
BN_0102,Pharmacist,13971.0,Pharmazeut/in,health,Conduct inspections in testing facilities and production companies.,Inspektionen in Prüfstellen und Produktionsbetrieben durchführen.,human_led,1,0,0,2,2,2
BN_0103,Pharmacist,13971.0,Pharmazeut/in,health,Organize the supply of medicines.,Die Arzneimittelversorgung organisieren.,sensitive,0,0,0,2,2,2
BN_0104,Pharmacist,13971.0,Pharmazeut/in,health,Collaborate on research projects and write reports.,An Forschungsprojekten mitarbeiten und Berichte schreiben.,human_led,0,0,1,2,2,2
BN_0105,Pharmacist,13971.0,Pharmazeut/in,health,Conduct courses and administer exams.,Lehrveranstaltungen durchführen und Prüfungen abnehmen.,human_led,0,0,1,1,1,1
BN_0106,Application Engineer/Manager,14991.0,Application-Engineer/-Manager/in,other,"Improve or redesign technical processes in mechanical engineering, electronics, power supply, mechatronics, or computer science.","Technische Verfahren im Maschinenbau, Elektronik, Stromversorgung, Mechatronik oder Informatik verbessern oder neu gestalten.",ai_assisted,0,0,0,2,1,1
BN_0107,Application Engineer/Manager,14991.0,Application-Engineer/-Manager/in,other,"record customer requests, calculate prices and deadlines, create and present offers","Kundenwünsche erfassen, Preise und Termine berechnen, Angebote erstellen und vorstellen.",human_led,0,0,1,3,2,3
BN_0108,Application Engineer/Manager,14991.0,Application-Engineer/-Manager/in,other,"Create manuals, documentation, and training materials, and keep maintenance and service records.","Handbücher, Dokumentationen und Schulungsunterlagen erstellen sowie Wartungs- und Serviceprotokolle führen.",automatable,0,0,0,3,3,3
BN_0109,Application Engineer/Manager,14991.0,Application-Engineer/-Manager/in,other,Prepare and monitor machines and systems.,Maschinen und Anlagen vorbereiten und überwachen.,human_led,1,0,0,1,1,1
BN_0110,Application Engineer/Manager,14991.0,Application-Engineer/-Manager/in,other,Program machines and set functions.,Maschinen programmieren und Funktionen einstellen.,human_led,1,0,0,2,2,2
BN_0111,Application Engineer/Manager,14991.0,Application-Engineer/-Manager/in,other,"Put machines into operation, conduct test runs, and train staff.","Maschinen in Betrieb nehmen, Probeläufe durchführen und Bedienpersonal einweisen.",human_led,1,0,1,2,2,2
BN_0112,Application Engineer/Manager,14991.0,Application-Engineer/-Manager/in,other,"Monitor processes, search for and fix errors in case of disruptions.","Prozesse überwachen, bei Störungen Fehler suchen und beheben.",high_ai_potential,0,0,0,2,2,2
BN_0113,Application Engineer/Manager,14991.0,Application-Engineer/-Manager/in,other,"Advise customers, help with technical problems, and accept suggestions for improvement.","Kunden beraten, bei technischen Problemen helfen und Verbesserungsvorschläge annehmen.",human_led,0,0,1,1,1,1
BN_0114,Application Engineer/Manager,14991.0,Application-Engineer/-Manager/in,other,Lead employees in the engineering team.,Mitarbeiter führen.,human_led,0,0,1,0,0,1
BN_0115,Labor Market Consultant,130772.0,Arbeitsmarktorientierte/r Berater/in,other,"Advise organizations in education, profession, and labor market.",Organisationen im Bereich Bildung und Beruf sowie Arbeitsmarkt beraten.,human_led,0,1,1,1,1,1
BN_0116,Labor Market Consultant,130772.0,Arbeitsmarktorientierte/r Berater/in,other,Guide employees for good advice.,Mitarbeitende für eine gute Beratung anleiten.,human_led,0,1,1,1,1,1
BN_0117,Labor Market Consultant,130772.0,Arbeitsmarktorientierte/r Berater/in,other,"Check, develop, and implement consulting methods.","Beratungsmethoden prüfen, entwickeln und umsetzen.",ai_assisted,0,0,0,1,1,1
BN_0118,Labor Market Consultant,130772.0,Arbeitsmarktorientierte/r Berater/in,other,Advise employees and employers on personnel development issues.,Arbeitnehmer und Arbeitgeber in Fragen der Personalentwicklung beraten.,human_led,0,0,1,1,1,1
BN_0119,Labor Market Consultant,130772.0,Arbeitsmarktorientierte/r Berater/in,other,Inform employers and politicians about changes in the job market.,Arbeitgeber und Politiker über Veränderungen auf dem Arbeitsmarkt informieren.,ai_assisted,0,0,0,1,1,1
BN_0120,Labor Market Consultant,130772.0,Arbeitsmarktorientierte/r Berater/in,other,Advise public administrations on personnel matters.,Öffentliche Verwaltungen in Personalfragen beraten.,human_led,0,0,1,1,1,1
BN_0121,Labor Market Consultant,130772.0,Arbeitsmarktorientierte/r Berater/in,other,Conduct and evaluate studies on labor market developments.,Studien zu Arbeitsmarktentwicklungen durchführen und auswerten.,ai_assisted,0,0,0,1,1,1
BN_0122,Labor Market Consultant,130772.0,Arbeitsmarktorientierte/r Berater/in,other,Prepare and communicate study results clearly.,Studienergebnisse verständlich aufbereiten und kommunizieren.,ai_assisted,0,0,0,1,1,1
BN_0123,Labor Market Consultant,130772.0,Arbeitsmarktorientierte/r Berater/in,other,Develop new methods for counseling.,Neue Methoden für die Beratung entwickeln.,ai_assisted,0,0,0,2,1,1
BN_0124,Employment Agent,67308.0,Arbeitsvermittler/in,other,Work in employment agencies.,in Arbeitsagenturen arbeiten,ai_assisted,0,0,0,0,0,0
BN_0125,Employment Agent,67308.0,Arbeitsvermittler/in,other,Inform job seekers about news in professions.,Arbeitssuchende über Neuigkeiten in Berufen informieren,ai_assisted,0,0,0,1,1,1
BN_0126,Employment Agent,67308.0,Arbeitsvermittler/in,other,Explain the requirements in the job market.,die Anforderungen auf dem Arbeitsmarkt erklären,ai_assisted,0,0,0,1,1,1
BN_0127,Employment Agent,67308.0,Arbeitsvermittler/in,other,show individual job opportunities,individuelle Jobmöglichkeiten aufzeigen,ai_assisted,0,0,0,1,1,1
BN_0128,Employment Agent,67308.0,Arbeitsvermittler/in,other,Create qualifications for applicants.,Qualifikationen von Bewerbern erstellen,ai_assisted,0,0,0,2,1,1
BN_0129,Employment Agent,67308.0,Arbeitsvermittler/in,other,Call companies to find open positions.,"Unternehmen anrufen, um offene Stellen zu finden",human_led,0,0,1,1,1,1
BN_0130,Employment Agent,67308.0,Arbeitsvermittler/in,other,help with applications and job interviews,bei Bewerbungen und Vorstellungsgesprächen helfen,human_led,0,1,1,1,1,1
BN_0131,Employment Agent,67308.0,Arbeitsvermittler/in,other,Advise on suitable further training.,zu passenden Weiterbildungen beraten,human_led,0,1,1,1,1,1
BN_0132,Employment Agent,67308.0,Arbeitsvermittler/in,other,Support employers in selecting candidates.,Arbeitgeber bei der Auswahl von Bewerbern unterstützen,ai_assisted,0,0,0,1,1,1
BN_0133,Employment Agent,67308.0,Arbeitsvermittler/in,other,help with integration services,bei Eingliederungsleistungen helfen,human_led,0,1,1,1,1,1
BN_0134,Employment Agent,67308.0,Arbeitsvermittler/in,other,Process applications for employment support.,Anträge für Arbeitsförderung bearbeiten,high_ai_potential,0,0,0,2,2,2
BN_0135,Employment Agent,67308.0,Arbeitsvermittler/in,other,Work with private employment agencies.,bei privaten Arbeitsvermittlern arbeiten,human_led,0,0,1,1,1,1
BN_0136,Employment Agent,67308.0,Arbeitsvermittler/in,other,support the training of new employees,die Einarbeitung von neuen Mitarbeitern begleiten,human_led,0,0,1,1,1,1
BN_0137,Employment Agent,67308.0,Arbeitsvermittler/in,other,Have conversations with bosses.,Gespräche mit Chefs führen,human_led,0,0,1,0,0,0
BN_0138,Work Scientist,59241.0,Buchwissenschaftler/in,other,Analyze data and identify where stress occurs in the workplace.,"Daten auswerten und erkennen, wo am Arbeitsplatz Belastungen auftreten.",ai_assisted,0,0,0,1,2,1
BN_0139,Work Scientist,59241.0,Buchwissenschaftler/in,other,Find ways to improve by comparing work systems.,"Möglichkeiten zur Verbesserung finden, indem Arbeitssysteme verglichen werden.",ai_assisted,0,0,0,1,1,1
BN_0140,Work Scientist,59241.0,Buchwissenschaftler/in,other,Develop and implement practical concepts.,Praktische Konzepte entwickeln und umsetzen.,ai_assisted,0,0,0,2,1,1
BN_0141,Work Scientist,59241.0,Buchwissenschaftler/in,other,"Capture the work system and its influences, for example through studies on working hours or work processes.","Das Arbeitssystem und seine Einflüsse erfassen, zum Beispiel durch Studien zu Arbeitszeiten oder Arbeitsprozessen.",ai_assisted,0,0,0,1,1,1
BN_0142,Work Scientist,59241.0,Buchwissenschaftler/in,other,Participate in research projects and write reports.,An Forschungsprojekten teilnehmen und Berichte schreiben.,high_ai_potential,0,0,0,2,2,2
BN_0143,Work Scientist,59241.0,Buchwissenschaftler/in,other,Prepare and conduct courses and take exams.,"Lehrveranstaltungen vorbereiten, durchführen und Prüfungen abnehmen.",human_led,0,0,1,1,1,1
BN_0144,Arranger,28504.0,Arrangeur/in,other,Adapt music pieces for other groups or create new pieces.,Musikstücke für andere Gruppen anpassen oder neue Stücke erstellen.,ai_assisted,0,0,0,1,1,1
BN_0145,Arranger,28504.0,Arrangeur/in,other,Rewrite pieces for large bands for smaller jazz groups.,Stücke für große Bands für kleinere Jazzgruppen umschreiben.,ai_assisted,0,0,0,2,1,1
